,Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
127,Cameroon,2019,9268,11399,14298,11581,12153,7596,3801.0,5804,649.5,751.6,1317.0,1635.0,2269,5096,4794.0,902.0,3042.0,2468,1176.0
128,Republic of Moldova,2019,11447,9631,22940,16539,15982,7089,2374.0,4993,206.4,147.0,117.9,556.1,907.4,1308,3319.0,261.5,1628.0,201.7,353.1
129,Turkmenistan,2019,11574,13536,22429,11460,12321,6956,2591.0,5550,429.8,177.3,174.2,858.4,1185,3932,3502.0,448.4,1755.0,562,561.2
130,Fiji,2019,11475,13638,14125,13125,13785,9730,3178.0,6953,444.0,269.2,198.9,852.9,1286,2211,5020.0,627.2,1950.0,415.3,716.2
131,Uzbekistan,2019,11516,12568,19081,17974,17504,6074,1862.0,4699,356.1,189.4,180.5,568.9,863.9,1540,2800.0,403.9,1195.0,185.1,440.1
132,Serbia,2019,9038,11539,26976,19130,15313,6508,1489.0,4255,138.3,69.04,49.54,388.2,570.9,443.5,2718.0,190.6,868.9,68.68,246.8
133,Sierra Leone,2019,9318,11611,13866,11563,12140,7544,3083.0,5488,624.3,702.1,1215.0,1426.0,1846,8073,4232.0,863.5,2460.0,2843,1104.0
134,Liberia,2019,9131,11661,16857,12885,12795,7235,2941.0,5184,526.2,689.6,743.8,1265.0,1683,6212,3954.0,760.6,2290.0,2223,964.7
135,Angola,2019,9667,11696,14465,11869,12400,7849,3481.0,5904,585.5,566.9,955.9,1582.0,2084,5120,4578.0,873.8,2752.0,2419,1151.0
136,Venezuela (Bolivarian Republic of),2019,6479,8542,34431,16493,11735,5797,1490.0,3375,837.9,193.3,142.8,998.2,1112,2524,2197.0,1258.0,1108.0,333.8,954.2
137,Mongolia,2019,11743,12496,15260,12706,12791,9278,3792.0,6963,355.1,177.5,159.3,1286.0,1792,1391,5390.0,664.6,2616.0,216.1,926.0
138,Kuwait,2019,5514,8013,47736,16227,11752,3628,840.6,2236,171.9,97.84,85.14,268.1,336.6,668.8,1363.0,218.4,502.3,111.8,228.6
139,Poland,2019,7448,9283,39686,15324,11767,5579,1504.0,3811,153.8,58.17,42.32,432.5,602.4,360.9,2405.0,267.7,893.7,62.93,319.2
140,Viet Nam,2019,8691,11779,26444,16806,14862,6209,1905.0,4306,349.1,146.6,99.72,558.5,779.2,1560,2944.0,469.4,1206.0,412.4,473.5
141,Nicaragua,2019,8279,11814,28474,17646,15393,5699,1512.0,3698,307.5,197.9,131.6,455.3,617.2,1441,2381.0,391.1,936.8,234.4,392.1
142,Mauritania,2019,8637,11837,22156,15182,14117,6360,1932.0,4158,368.9,219.0,459.4,795.0,996.9,5068,2883.0,544.0,1400.0,2239,647.3
143,Djibouti,2019,9193,11860,16971,13377,13383,7215,3350.0,5344,571.0,475.6,735.9,1354.0,1906,4854,4222.0,758.1,2602.0,858.2,970.0
144,Côte d’Ivoire,2019,9573,11907,14620,11954,12670,7712,3291.0,5724,611.6,958.7,1320.0,1268.0,1739,5858,4465.0,804.5,2472.0,2072,978.8
145,Mali,2019,9209,11941,15556,12492,12999,7161,2796.0,5098,591.6,761.4,1257.0,1260.0,1638,6076,3852.0,795.1,2151.0,3368,999.6
146,United Republic of Tanzania,2019,9180,11999,18780,13877,13758,7083,2903.0,5088,520.3,325.4,755.6,1229.0,1642,3625,3924.0,715.6,2228.0,1442,925.2
147,Benin,2019,9504,12034,15715,12563,13131,7449,2729.0,5279,541.1,647.8,1140.0,1100.0,1460,5993,3940.0,717.2,2049.0,3135,872.3
148,Algeria,2019,5698,8345,39302,18876,13238,3980,1107.0,2447,245.7,163.4,163.6,441.4,572.4,1955,1659.0,338.9,775.8,328.3,364.2
149,Iran (Islamic Republic of),2019,6451,9510,36527,17855,14781,4392,1107.0,2809,373.4,173.3,167.2,488.8,581.1,1137,1767.0,461.0,772.7,194.2,453.3
150,Japan,2019,4300,5452,59197,14461,8971,2532,694.2,1623,93.89,39.16,35.48,210.9,280.3,187.9,1114.0,159.6,417.8,65.74,165.7
151,Spain,2019,4440,6116,55796,15176,9725,3123,722.9,2114,70.56,37.64,32.94,163.8,235.5,261.3,1316.0,113.8,370.5,50.65,135.3
152,Haiti,2019,9978,12094,14061,12100,12739,8209,3591.0,6176,643.7,431.6,587.0,1464.0,1969,4885,4803.0,908.5,2748.0,1478,1133.0
153,Italy,2019,4336,6748,54914,16099,9883,2797,681.8,1802,88.09,48.07,37.49,167.9,259.1,276.3,1134.0,130.2,413.2,45.04,139.8
154,Niger,2019,9694,12315,15066,12443,13198,7537,2693.0,5321,560.9,1342.0,1439.0,1139.0,1476,4770,3892.0,749.7,2014.0,3427,922.7
155,Pakistan,2019,9998,12508,16040,13151,13406,7955,2794.0,5626,543.7,362.7,422.4,1139.0,1464,5530,4082.0,795.3,2086.0,1162,934.7
156,Malaysia,2019,9126,13041,26539,15937,15594,6255,1738.0,4215,317.8,144.0,115.7,608.5,816,720.6,2679.0,425.9,1143.0,122.1,461.7
157,Bahrain,2019,7654,12868,21728,22044,22132,4897,1166.0,2553,261.8,83.49,93.47,400.7,584.2,657.7,1576.0,353.4,575.7,96.57,276.4
158,Paraguay,2019,7255,9853,35837,14892,12607,5360,1688.0,3625,369.2,193.8,81.26,668.9,829,1614,2563.0,544.2,1169.0,275.3,573.9
159,Croatia,2019,7084,9420,36710,18530,14133,5214,1170.0,3362,118.8,54.59,50.09,259.3,404.6,414.5,1991.0,190.6,619.6,73.26,200.9
160,Comoros,2019,9431,12333,19183,14267,13955,7190,2304.0,4877,446.7,255.8,539.7,923.0,1181,5019,3452.0,646.6,1685.0,1555,754.7
161,India,2019,9177,12034,21886,16249,14223,6757,2148.0,4877,402.1,261.0,269.3,895.6,1183,2779,3388.0,620.5,1537.0,604.1,709.6
162,Myanmar,2019,9579,12765,19122,15009,14812,7190,2418.0,5022,458.6,223.0,238.5,886.1,1190,3542,3587.0,632.8,1697.0,918.7,711.9
