Country,Group1,Group2,corr
Algeria,BodyMassIndex,Alcohol,0.23276875983584036
Algeria,BodyMassIndex,Hepatitis B,0.7184724441035301
Algeria,BodyMassIndex,Polio,0.12365556983747858
Algeria,BodyMassIndex,ICOR index,0.4174832095204048
Algeria,Alcohol,Population,0.2845822387595739
Algeria,Alcohol,LifeExpectancy,0.38074944952873135
Algeria,Alcohol,AdultMortality,-0.4582572759168838
Algeria,Alcohol,InfantDeaths,0.24722383511429538
Algeria,Alcohol,DeathsUnder5,0.14565079743278042
Algeria,Alcohol,TotalExpenditure,0.24983084962972296
Algeria,Alcohol,GDP,0.2610691089729686
Algeria,Alcohol,Schooling,0.373074569236866
Algeria,Alcohol,BodyMassIndex,0.23276875983584036
Algeria,Alcohol,Alcohol,1.0
Algeria,Alcohol,Hepatitis B,0.1646676811705511
Algeria,Alcohol,Polio,0.25153614067654734
Algeria,Alcohol,ICOR index,0.4020788724242041
Algeria,Hepatitis B,Population,0.22644211139469178
Algeria,Hepatitis B,LifeExpectancy,0.22423812273653396
Algeria,Hepatitis B,AdultMortality,-0.2500538906184292
Algeria,Hepatitis B,InfantDeaths,0.3137599911678028
Algeria,Hepatitis B,DeathsUnder5,0.3241822645521725
Algeria,Hepatitis B,TotalExpenditure,0.4950185692097335
Algeria,Hepatitis B,GDP,-0.02373832599748306
Algeria,Hepatitis B,Schooling,0.32963230660037174
Algeria,Hepatitis B,BodyMassIndex,0.7184724441035301
Algeria,Hepatitis B,Alcohol,0.1646676811705511
Algeria,Hepatitis B,Hepatitis B,1.0
Algeria,Hepatitis B,Polio,-0.10390380691304138
Algeria,Hepatitis B,ICOR index,0.28549346795606284
Algeria,Polio,Population,0.5649588493856597
Algeria,Polio,LifeExpectancy,0.8973812376757999
Algeria,Polio,AdultMortality,-0.21270512347627202
Algeria,Polio,InfantDeaths,0.558510712293315
Algeria,Polio,DeathsUnder5,0.20845847457543717
Algeria,Polio,TotalExpenditure,0.6814839820756684
Algeria,Polio,GDP,0.6487242013304825
Algeria,Polio,Schooling,0.8435523622433524
Algeria,Polio,BodyMassIndex,0.12365556983747858
Algeria,Polio,Alcohol,0.25153614067654734
Algeria,Polio,Hepatitis B,-0.10390380691304138
Algeria,Polio,Polio,1.0
Algeria,Polio,ICOR index,0.8426231745759653
Algeria,ICOR index,Population,0.6195920410730278
Algeria,ICOR index,LifeExpectancy,0.984151820142309
Algeria,ICOR index,AdultMortality,-0.526092964103655
Algeria,ICOR index,InfantDeaths,0.5375299385410331
Algeria,ICOR index,DeathsUnder5,0.17654894934072446
Algeria,ICOR index,TotalExpenditure,0.8639831672982247
Algeria,ICOR index,GDP,0.548394995288112
Algeria,ICOR index,Schooling,0.9929834798425564
Algeria,ICOR index,BodyMassIndex,0.4174832095204048
